ins_addr,mnemonic,op_str,global_off,context
0x0c6e,mov,"al, byte ptr [0x5b68]",0x5b68,"0x0c6b:jmp 0xc74 || 0x0c6d:nop  || 0x0c6e:mov al, byte ptr [0x5b68] || 0x0c71:and ax, 1 || 0x0c74:mov word ptr [bp - 2], ax"
0x0c87,push,word ptr [0x5b72],0x5b72,0x0c81:push word ptr [bp - 8] || 0x0c84:push word ptr [bp - 0xa] || 0x0c87:push word ptr [0x5b72] || 0x0c8b:push word ptr [0x5b70] || 0x0c8f:push word ptr [bp + 6]
0x0c8b,push,word ptr [0x5b70],0x5b70,"0x0c84:push word ptr [bp - 0xa] || 0x0c87:push word ptr [0x5b72] || 0x0c8b:push word ptr [0x5b70] || 0x0c8f:push word ptr [bp + 6] || 0x0c92:lcall 0x2f7, 0x24c"
0x0d48,mov,"ax, word ptr [0x5b48]",0x5b48,"0x0d42:cmp byte ptr [bp - 1], 3 || 0x0d46:jne 0xd5c || 0x0d48:mov ax, word ptr [0x5b48] || 0x0d4b:mov dx, word ptr [0x5b4a] || 0x0d4f:cmp word ptr [bp - 4], dx"
0x0d4b,mov,"dx, word ptr [0x5b4a]",0x5b4a,"0x0d46:jne 0xd5c || 0x0d48:mov ax, word ptr [0x5b48] || 0x0d4b:mov dx, word ptr [0x5b4a] || 0x0d4f:cmp word ptr [bp - 4], dx || 0x0d52:ja 0xd5c"
0x0de7,mov,"ax, word ptr [0x5b76]",0x5b76,"0x0ddf:add word ptr [bp - 0xa], 1 || 0x0de3:adc word ptr [bp - 8], 0 || 0x0de7:mov ax, word ptr [0x5b76] || 0x0dea:inc word ptr [bp - 0x20] || 0x0ded:cmp word ptr [bp - 0x20], ax"
0x0e35,mov,"ax, word ptr [0x5b50]",0x5b50,"0x0e2d:lcall 0x3f7, 0x752 || 0x0e32:add sp, 8 || 0x0e35:mov ax, word ptr [0x5b50] || 0x0e38:mov dx, word ptr [0x5b52] || 0x0e3c:cmp word ptr [bp - 0xe], ax"
0x0e38,mov,"dx, word ptr [0x5b52]",0x5b52,"0x0e32:add sp, 8 || 0x0e35:mov ax, word ptr [0x5b50] || 0x0e38:mov dx, word ptr [0x5b52] || 0x0e3c:cmp word ptr [bp - 0xe], ax || 0x0e3f:jne 0xe46"
0x0e77,mov,"ax, word ptr [0x5b54]",0x5b54,"0x0e6f:lcall 0x3f7, 0x752 || 0x0e74:add sp, 8 || 0x0e77:mov ax, word ptr [0x5b54] || 0x0e7a:mov dx, word ptr [0x5b56] || 0x0e7e:cmp word ptr [bp - 0x16], ax"
0x0e7a,mov,"dx, word ptr [0x5b56]",0x5b56,"0x0e74:add sp, 8 || 0x0e77:mov ax, word ptr [0x5b54] || 0x0e7a:mov dx, word ptr [0x5b56] || 0x0e7e:cmp word ptr [bp - 0x16], ax || 0x0e81:jne 0xe88"
0x0eb9,mov,"ax, word ptr [0x5b58]",0x5b58,"0x0eb1:lcall 0x3f7, 0x752 || 0x0eb6:add sp, 8 || 0x0eb9:mov ax, word ptr [0x5b58] || 0x0ebc:mov dx, word ptr [0x5b5a] || 0x0ec0:cmp word ptr [bp - 0x12], ax"
0x0ebc,mov,"dx, word ptr [0x5b5a]",0x5b5a,"0x0eb6:add sp, 8 || 0x0eb9:mov ax, word ptr [0x5b58] || 0x0ebc:mov dx, word ptr [0x5b5a] || 0x0ec0:cmp word ptr [bp - 0x12], ax || 0x0ec3:jne 0xeca"
