tool,site,phase,cs_ip,ax,bx,cx,dx,ds,es,ss_sp,buf_ptr,buf_len,buf_hex_prefix,notes
mdcache_on,int21_44xx,pre,05f1:119f,0x4400,0x0005,0x0000,0x8001,0x1f9e,,1f9e:3d3c,1f9e:8001,0x0000,,ax_subfunc=0x00
mdcache_on,int21_44xx,pre,05f1:01a6,0x4400,0x0005,0x0000,0x8001,0x1f9e,,1f9e:3d3c,1f9e:8001,0x0000,,ax_subfunc=0x00
mdcache_on,int21_44xx,pre,05f1:01a7,0x4400,0x0005,0x0000,0x8001,0x1f9e,,1f9e:3d3c,1f9e:8001,0x0000,,ax_subfunc=0x00
mdcache_on,int21_44xx,pre,00d8:01a8,0x4400,0x0005,0x0000,0x8001,0x00d8,,1f9e:3d3a,00d8:8001,0x0000,,ax_subfunc=0x00
mdcache_on,int21_44xx,pre,05f1:119f,0x4400,0x0005,0x0000,0x4001,0x1f9e,,1f9e:3c4c,1f9e:4001,0x0000,,ax_subfunc=0x00
mdcache_on,int21_44xx,pre,05f1:01a6,0x4400,0x0005,0x0000,0x4001,0x1f9e,,1f9e:3c4c,1f9e:4001,0x0000,,ax_subfunc=0x00
mdcache_on,int21_44xx,pre,05f1:01a7,0x4400,0x0005,0x0000,0x4001,0x1f9e,,1f9e:3c4c,1f9e:4001,0x0000,,ax_subfunc=0x00
mdcache_on,int21_44xx,pre,00d8:01a8,0x4400,0x0005,0x0000,0x4001,0x00d8,,1f9e:3c4a,00d8:4001,0x0000,,ax_subfunc=0x00
mdcache_on,int21_44xx,pre,05f1:119f,0x4400,0x0005,0x0000,0x4001,0x1f9e,,1f9e:3c4c,1f9e:4001,0x0000,,ax_subfunc=0x00
mdcache_on,int21_44xx,pre,05f1:01a6,0x4400,0x0005,0x0000,0x4001,0x1f9e,,1f9e:3c4c,1f9e:4001,0x0000,,ax_subfunc=0x00
mdcache_on,int21_44xx,pre,05f1:01a7,0x4400,0x0005,0x0000,0x4001,0x1f9e,,1f9e:3c4c,1f9e:4001,0x0000,,ax_subfunc=0x00
mdcache_on,int21_44xx,pre,00d8:01a8,0x4400,0x0005,0x0000,0x4001,0x00d8,,1f9e:3c4a,00d8:4001,0x0000,,ax_subfunc=0x00
mdcache_on,int21_44xx,pre,05f1:119f,0x4400,0x0005,0x0000,0x4001,0x1f9e,,1f9e:3c4c,1f9e:4001,0x0000,,ax_subfunc=0x00
mdcache_on,int21_44xx,pre,05f1:01a6,0x4400,0x0005,0x0000,0x4001,0x1f9e,,1f9e:3c4c,1f9e:4001,0x0000,,ax_subfunc=0x00
mdcache_on,int21_44xx,pre,05f1:01a7,0x4400,0x0005,0x0000,0x4001,0x1f9e,,1f9e:3c4c,1f9e:4001,0x0000,,ax_subfunc=0x00
mdcache_on,int21_44xx,pre,00d8:01a8,0x4400,0x0005,0x0000,0x4001,0x00d8,,1f9e:3c4a,00d8:4001,0x0000,,ax_subfunc=0x00
mdcache_on,int21_44xx,pre,2395:6577,0x4400,0x0001,0x0005,0x0001,0x2385,,305c:0fec,2385:0001,0x0005,,ax_subfunc=0x00
mdcache_on,int21_44xx,pre,05f1:1e84,0x4402,0x0540,0x3003,0x0001,0x00d8,,00d8:08c8,00d8:0001,0x3003,,ax_subfunc=0x02
mdcache_on,int21_44xx,pre,0070:1e9b,0x4402,0x0540,0x3003,0x0001,0x00d8,,00d8:08c8,00d8:0001,0x3003,,ax_subfunc=0x02
mdcache_on,int21_44xx,pre,f000:01e8,0x4444,0x0540,0x3003,0x0001,0x00d8,,00d8:08c2,00d8:0001,0x3003,,ax_subfunc=0x44
mdcache_on,int21_44xx,pre,05f1:1ec9,0x4444,0x0540,0x3003,0x0001,0x00d8,,00d8:08c8,00d8:0001,0x3003,,ax_subfunc=0x44
mdcache_on,int21_44xx,pre,0070:1e84,0x4419,0x0540,0x3003,0x0001,0x00d8,,00d8:08c8,00d8:0001,0x3003,,ax_subfunc=0x19
mdcache_on,int21_44xx,pre,f000:01e8,0x4444,0x0540,0x3003,0x0001,0x00d8,,00d8:08c2,00d8:0001,0x3003,,ax_subfunc=0x44
mdcache_on,int21_44xx,pre,05f1:1ec9,0x4444,0x0540,0x3003,0x0001,0x00d8,,00d8:08c8,00d8:0001,0x3003,,ax_subfunc=0x44
mdcache_on,int21_44xx,pre,f000:01e8,0x4444,0x0540,0x3003,0x0001,0x00d8,,00d8:08c2,00d8:0001,0x3003,,ax_subfunc=0x44
mdcache_on,int21_44xx,pre,0070:000f,0x4444,0x0540,0x3003,0x0001,0x0070,,0570:08c2,0070:0001,0x3003,,ax_subfunc=0x44
mdcache_on,int21_44xx,pre,05f1:1ec9,0x4444,0x0540,0x3003,0x0001,0x00d8,,00d8:08c8,00d8:0001,0x3003,,ax_subfunc=0x44
mdcache_on,int21_44xx,pre,05f1:119f,0x4400,0x0005,0x0000,0x4001,0x1f9e,,1f9e:3c4c,1f9e:4001,0x0000,,ax_subfunc=0x00
mdcache_on,int21_44xx,pre,05f1:01a6,0x4400,0x0005,0x0000,0x4001,0x1f9e,,1f9e:3c4c,1f9e:4001,0x0000,,ax_subfunc=0x00
mdcache_on,int21_44xx,pre,05f1:01a7,0x4400,0x0005,0x0000,0x4001,0x1f9e,,1f9e:3c4c,1f9e:4001,0x0000,,ax_subfunc=0x00
mdcache_on,int21_44xx,pre,00d8:01a8,0x4400,0x0005,0x0000,0x4001,0x00d8,,1f9e:3c4a,00d8:4001,0x0000,,ax_subfunc=0x00
